,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,ma5,ma_v_5,ma20,ma_v_20,ma60,ma_v_60,key
0,600215.SH,20180102,10.6065,10.7255,10.557,10.6462,10.5669,0.07929999999999993,0.7505,25489.03,27405.637,,,,,,,0
1,600215.SH,20180103,10.6065,10.775,10.3587,10.7354,10.6462,0.08919999999999995,0.8379,42492.44,45325.583,,,,,,,1
2,600215.SH,20180104,10.6561,10.7552,10.5768,10.6462,10.7354,-0.08919999999999995,-0.8309,22403.19,24091.636,,,,,,,2
3,600215.SH,20180105,10.5768,10.8048,10.4578,10.7453,10.6462,0.09909999999999997,0.9308,35231.04,37703.16,,,,,,,3
4,600215.SH,20180108,10.666,10.785,10.5471,10.775,10.7453,0.02970000000000006,0.2764,31897.0,34327.089,10.7096,31502.54,,,,,4
5,600215.SH,20180109,10.7057,10.894,10.6264,10.8246,10.775,0.049599999999999866,0.4603,34933.72,37962.708,10.7453,33391.478,,,,,5
6,600215.SH,20180110,10.7552,10.8444,10.5371,10.5966,10.8246,-0.22799999999999976,-2.1063,28283.8,30433.523,10.7175,30549.75,,,,,6
7,600215.SH,20180111,10.5074,10.7057,10.4479,10.5966,10.5966,0.0,0.0,16169.44,17246.768,10.7076,29303.0,,,,,7
8,600215.SH,20180112,10.666,10.666,10.5371,10.5867,10.5966,-0.00990000000000002,-0.0934,25382.3,27109.12,10.6759,27333.252,,,,,8
9,600215.SH,20180115,10.557,10.5768,10.0911,10.1505,10.5867,-0.43620000000000125,-4.1203,53432.0,55279.1,10.551,31640.252,,,,,9
10,600215.SH,20180116,10.1605,10.3389,10.1109,10.2596,10.1505,0.10910000000000153,1.0748,15820.02,16368.441,10.438,27817.512,,,,,10
11,600215.SH,20180117,10.2794,10.3091,10.1406,10.2398,10.2596,-0.01980000000000004,-0.193,20439.86,21109.18,10.3666,26248.724,,,,,11
12,600215.SH,20180118,10.2001,10.2695,10.0514,10.0812,10.2398,-0.15859999999999985,-1.5489,34343.9,35120.816,10.2636,29883.616,,,,,12
13,600215.SH,20180119,10.0712,10.1505,10.0316,10.1307,10.0812,0.04949999999999832,0.491,36990.65,37629.128,10.1724,32205.286,,,,,13
14,600215.SH,20180122,10.0613,10.2497,10.0514,10.1109,10.1307,-0.019799999999998263,-0.1954,19878.12,20364.46,10.1644,25494.51,,,,,14
15,600215.SH,20180123,10.0812,10.21,10.0118,10.1208,10.1109,0.009899999999998244,0.0979,20284.24,20704.311,10.1367,26387.354,,,,,15
16,600215.SH,20180124,10.1406,10.1803,10.0613,10.1307,10.1208,0.00990000000000002,0.0978,27084.95,27671.515,10.1149,27716.372,,,,,16
17,600215.SH,20180125,10.101,10.4083,10.0911,10.1704,10.1307,0.03970000000000162,0.3919,39237.35,40541.829,10.1327,28695.062,,,,,17
18,600215.SH,20180126,10.2398,10.3785,10.1902,10.2497,10.1704,0.07929999999999993,0.7797,19407.0,20102.432,10.1565,25178.332,,,,,18
19,600215.SH,20180129,10.2893,10.2893,10.0712,10.1605,10.2497,-0.08919999999999995,-0.8703,25678.21,26336.263,10.1664,26338.35,10.3979,28743.913,,,19
20,600215.SH,20180130,10.1704,10.2298,10.0613,10.21,10.1605,0.0495000000000001,0.4872,16038.94,16408.968,10.1843,25489.29,10.3761,28271.4085,,,20
21,600215.SH,20180131,10.1902,10.1902,9.9226,9.9424,10.21,-0.2676000000000016,-2.621,24471.55,24779.628,10.1466,24966.61,10.3364,27370.364,,,21
22,600215.SH,20180201,9.9325,10.0415,9.3674,9.3774,9.9424,-0.5649999999999995,-5.6827,48028.0,47025.857,9.988,26724.74,10.273,28651.6045,,,22
23,600215.SH,20180202,9.2881,9.5459,9.2188,9.308,9.3774,-0.0693999999999999,-0.7401,27604.31,26052.182,9.7997,28364.202,10.2011,28270.268,,,23
24,600215.SH,20180205,9.2683,9.4071,8.9908,9.2088,9.308,-0.09919999999999973,-1.0657,15550.0,14482.364,9.6093,26338.56,10.1228,27452.918,,,24
25,600215.SH,20180206,9.0502,9.1196,8.287,8.287,9.2088,-0.9217999999999993,-10.01,44948.52,39436.229,9.2247,32120.476,9.9959,27953.658,,,25
26,600215.SH,20180207,8.3663,8.6736,8.1581,8.4456,8.287,0.15859999999999985,1.9138,36977.85,31553.396,8.9254,34621.736,9.8884,28388.3605,,,26
27,600215.SH,20180208,8.4357,8.5843,8.3663,8.5249,8.4456,0.07929999999999993,0.939,15661.38,13499.594,8.7549,28148.412,9.7848,28362.9575,,,27
28,600215.SH,20180209,8.4257,8.4257,7.8112,8.1185,8.5249,-0.4064000000000014,-4.7672,28642.37,23681.708,8.517,28356.024,9.6614,28525.961,,,28
29,600215.SH,20180212,8.1878,8.4753,8.1878,8.4357,8.1185,0.3172000000000015,3.9071,22587.45,19094.086,8.3623,29763.514,9.5756,26983.7335,,,29
30,600215.SH,20180213,9.2782,9.2782,9.2782,9.2782,8.4357,0.8424999999999994,9.9873,7559.86,7076.029,8.5606,22285.782,9.5266,26570.7255,,,30
