,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,ma5,ma_v_5,ma20,ma_v_20,ma60,ma_v_60,key
0,601519.SH,20180102,4.95,5.05,4.94,4.98,4.96,0.020000000000000462,0.4032,68608.8,34266.659,,,,,,,0
1,601519.SH,20180103,4.98,5.02,4.96,5.0,4.98,0.019999999999999574,0.4016,40691.18,20296.705,,,,,,,1
2,601519.SH,20180104,4.99,5.0,4.94,4.96,5.0,-0.040000000000000036,-0.8,41024.09,20384.129,,,,,,,2
3,601519.SH,20180105,4.93,5.03,4.93,5.0,4.96,0.040000000000000036,0.8065,52778.29,26318.642,,,,,,,3
4,601519.SH,20180108,4.99,5.04,4.87,4.97,5.0,-0.03000000000000025,-0.6,64943.5,32205.437,4.982,53609.172,,,,,4
5,601519.SH,20180109,4.94,5.06,4.94,5.05,4.97,0.08000000000000007,1.6097,62763.84,31517.998,4.996,52440.18,,,,,5
6,601519.SH,20180110,5.02,5.05,4.93,5.0,5.05,-0.04999999999999982,-0.9901,64340.91,32116.792,4.996,57170.126,,,,,6
7,601519.SH,20180111,5.0,5.03,4.93,4.95,5.0,-0.04999999999999982,-1.0,54747.64,27275.622,4.994,59914.836,,,,,7
8,601519.SH,20180112,4.91,4.98,4.91,4.92,4.95,-0.03000000000000025,-0.6061,38168.0,18879.331,4.978,56992.778,,,,,8
9,601519.SH,20180115,4.89,4.93,4.67,4.69,4.92,-0.22999999999999954,-4.6748,99928.89,47711.911,4.922,63989.856,,,,,9
10,601519.SH,20180116,4.69,4.74,4.66,4.7,4.69,0.009999999999999787,0.2132,52493.44,24618.823,4.852,61935.776,,,,,10
11,601519.SH,20180117,4.7,4.8,4.67,4.75,4.7,0.04999999999999982,1.0638,47922.48,22655.517,4.802,58652.09,,,,,11
12,601519.SH,20180118,4.73,4.75,4.71,4.73,4.75,-0.019999999999999574,-0.4211,29500.48,13939.178,4.758,53602.658,,,,,12
13,601519.SH,20180119,4.73,4.73,4.5,4.66,4.73,-0.07000000000000028,-1.4799,64880.37,30091.347,4.706,58945.132,,,,,13
14,601519.SH,20180122,4.61,4.75,4.55,4.7,4.66,0.040000000000000036,0.8584,66845.41,31133.457,4.708,52328.436,,,,,14
15,601519.SH,20180123,4.66,4.69,4.61,4.68,4.7,-0.020000000000000462,-0.4255,45930.04,21364.275,4.704,51015.756,,,,,15
