,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,ma5,ma_v_5,ma20,ma_v_20,ma60,ma_v_60,key
0,300454.SZ,20180516,36.008,43.2136,36.008,43.2136,30.01,13.203599999999998,43.9973,245.66,1057.575,,,,,,,0
1,300454.SZ,20180517,47.5349,47.5349,47.5349,47.5349,43.2136,4.321300000000001,9.9999,88.04,419.334,,,,,,,1
2,300454.SZ,20180518,52.2854,52.2854,52.2854,52.2854,47.5349,4.750500000000002,9.9937,138.7,726.649,,,,,,,2
3,300454.SZ,20180521,57.515,57.515,57.515,57.515,52.2854,5.229599999999998,10.002,196.23,1130.873,,,,,,,3
4,300454.SZ,20180522,63.2635,63.2635,63.2635,63.2635,57.515,5.7485,9.9948,559.44,3546.29,52.7625,245.614,,,,,4
5,300454.SZ,20180523,69.5908,69.5908,69.5908,69.5908,63.2635,6.327300000000001,10.0015,557.73,3889.051,58.0379,308.028,,,,,5
6,300454.SZ,20180524,76.5469,76.5469,76.5469,76.5469,69.5908,6.956099999999992,9.9957,602.11,4618.183,63.8403,410.842,,,,,6
7,300454.SZ,20180525,84.2016,84.2016,84.2016,84.2016,76.5469,7.654700000000005,10.0,1588.2,13399.643,70.2236,700.742,,,,,7
8,300454.SZ,20180528,92.6248,92.6248,92.6248,92.6248,84.2016,8.423199999999994,10.0036,2459.78,22829.218,77.2455,1153.452,,,,,8
9,300454.SZ,20180529,101.8862,101.8862,101.8862,101.8862,92.6248,9.261400000000009,9.9988,4795.28,48955.013,84.9701,2000.62,,,,,9
10,300454.SZ,20180530,112.0758,112.0758,102.7944,103.7425,101.8862,1.8563000000000045,1.8219,212121.62,2295366.544,91.8004,44313.398,,,,,10
11,300454.SZ,20180531,114.1218,114.1218,111.1577,114.1218,103.7425,10.379299999999986,10.0049,231469.94,2638378.902,99.3154,90486.964,,,,,11
12,300454.SZ,20180601,117.7645,121.976,108.7824,110.6786,114.1218,-3.4431999999999903,-3.0171,175737.71,2038595.385,104.6108,125316.866,,,,,12
13,300454.SZ,20180604,113.7824,119.3313,110.7086,114.2715,110.6786,3.5929,3.2462,135734.06,1555548.696,108.9401,151971.722,,,,,13
14,300454.SZ,20180605,112.6048,125.6986,109.8802,125.6986,114.2715,11.427099999999996,10.0,142080.52,1671516.832,113.7026,179428.77,,,,,14
15,300454.SZ,20180606,128.7425,130.4391,120.8084,123.2535,125.6986,-2.4450999999999965,-1.9452,150816.83,1902603.865,117.6048,167167.812,,,,,15
16,300454.SZ,20180607,122.9541,125.02,118.3533,123.1537,123.2535,-0.09980000000000189,-0.081,101872.91,1241722.533,119.4112,141248.406,,,,,16
17,300454.SZ,20180608,122.0858,128.5928,121.3573,122.9541,123.1537,-0.19960000000000377,-0.1621,99704.64,1250681.752,121.8663,126041.792,,,,,17
18,300454.SZ,20180611,117.8743,119.4112,111.9461,118.1537,122.9541,-4.800399999999996,-3.9042,116790.11,1362675.923,122.6427,122253.002,,,,,18
19,300454.SZ,20180612,116.7665,118.2635,111.976,115.2495,118.1537,-2.904200000000003,-2.458,78552.66,910177.45,120.5529,109547.43,92.997,72805.6085,,,19
20,300454.SZ,20180613,112.8842,126.7764,111.008,119.2914,115.2495,4.041899999999998,3.5071,138204.31,1672725.017,119.7605,107024.926,96.8009,79703.541,,,20
21,300454.SZ,20180614,119.7605,130.6687,119.7605,123.3932,119.2914,4.101799999999997,3.4385,124103.96,1549836.814,119.8084,111471.136,100.5938,85904.337,,,21
22,300454.SZ,20180615,121.4371,128.3234,115.8882,123.4032,123.3932,0.010000000000005116,0.0081,108460.73,1330768.777,119.8982,113222.354,104.1497,91320.4385,,,22
23,300454.SZ,20180619,121.3573,129.7106,114.1717,117.7745,123.4032,-5.628699999999995,-4.5612,115496.1,1427818.241,119.8224,112963.552,107.1627,97085.432,,,23
24,300454.SZ,20180620,117.2954,129.5509,112.7745,126.976,117.7745,9.201499999999996,7.8128,163918.78,2043526.379,122.1677,130036.776,110.3483,105253.399,,,24
25,300454.SZ,20180621,124.98,126.7265,114.2814,114.2814,126.976,-12.694599999999994,-9.9976,167089.37,2002376.587,121.1657,135813.788,112.5828,113579.981,,,25
26,300454.SZ,20180622,107.7944,110.7385,102.8543,104.7904,114.2814,-9.491,-8.3049,118570.3,1258755.884,117.4451,134707.056,113.995,119478.3905,,,26
27,300454.SZ,20180625,104.9701,107.8842,101.3972,101.3972,104.7904,-3.3932000000000073,-3.2381,81397.12,853024.484,113.0439,129294.334,114.8548,123468.8365,,,27
28,300454.SZ,20180626,103.2934,110.3393,102.3054,107.485,101.3972,6.087800000000001,6.0039,92559.89,986662.582,110.986,124707.092,115.5978,127973.842,,,28
29,300454.SZ,20180627,106.0878,110.8383,104.9002,108.8423,107.485,1.357299999999995,1.2628,77804.35,845096.634,107.3593,107484.206,115.9456,131624.2955,,,29
30,300454.SZ,20180628,109.3812,112.1058,99.4611,99.7605,108.8423,-9.081800000000001,-8.344,78422.07,832376.688,104.4551,89750.746,115.7465,124939.318,,,30
31,300454.SZ,20180629,101.2475,109.7405,100.2994,109.7405,99.7605,9.980000000000004,10.004,94834.44,1018189.621,105.4451,85003.574,115.5274,118107.543,,,31
32,300454.SZ,20180702,113.8623,115.6587,110.2196,111.9162,109.7405,2.175700000000006,1.9826,109151.97,1237004.622,107.5489,90554.544,115.5893,114778.256,,,32
33,300454.SZ,20180703,112.4351,119.8603,109.6607,115.7685,111.9162,3.8522999999999996,3.4421,108816.33,1254629.342,109.2056,93805.832,115.6642,113432.3695,,,33
34,300454.SZ,20180704,114.6507,114.6507,105.5888,109.1717,115.7685,-6.596800000000002,-5.6983,87027.8,958861.143,109.2715,95650.522,114.8378,110679.7335,,,34
35,300454.SZ,20180705,109.2715,117.2455,108.7824,111.4671,109.1717,2.2954000000000008,2.1026,91657.12,1041135.185,111.6128,98297.532,114.2485,107721.748,,,35
36,300454.SZ,20180706,113.3433,122.6148,112.8842,117.7645,111.4671,6.297399999999996,5.6496,129021.17,1555295.412,113.2176,105134.878,113.979,109079.161,,,36
37,300454.SZ,20180709,122.4551,124.002,118.7725,122.7545,117.7645,4.989999999999995,4.2373,108923.33,1326340.276,115.3853,105089.15,113.9691,109540.0955,,,37
38,300454.SZ,20180710,121.6467,122.8842,118.8623,121.6168,122.7545,-1.1376999999999953,-0.9268,71739.89,869641.844,116.5549,97673.862,114.1422,107287.5845,,,38
39,300454.SZ,20180711,117.7345,123.6327,115.7784,123.6327,121.6168,2.015900000000002,1.6576,84578.94,1008927.441,119.4471,97184.09,114.5614,107588.8985,,,39
40,300454.SZ,20180712,123.5329,134.6108,121.4571,128.2834,123.6327,4.6507000000000005,3.7617,106625.2,1349190.316,122.8104,100177.706,115.011,106009.943,,,40
41,300454.SZ,20180713,118.7625,119.7405,115.4591,115.4591,128.2834,-12.824299999999994,-9.9969,57263.26,671184.839,122.3493,85826.124,114.6143,102667.908,,,41
42,300454.SZ,20180716,109.0619,112.1058,106.6667,108.5729,115.4591,-6.886200000000002,-5.9642,100270.9,1096236.915,119.513,84095.638,113.8728,102258.4165,,,42
43,300454.SZ,20180717,107.7844,110.5589,106.5868,110.0,108.5729,1.4270999999999958,1.3144,51434.97,560758.181,117.1896,80034.654,113.484,99055.36,,,43
44,300454.SZ,20180718,109.1916,109.7804,105.3693,105.5988,110.0,-4.401200000000003,-4.0011,58209.64,624751.35,113.5828,74760.794,112.4152,93769.903,,,44
45,300454.SZ,20180719,106.2874,108.0639,103.2735,106.7864,105.5988,1.1876000000000033,1.1246,41028.36,434409.536,109.2834,61641.426,112.0404,87466.8525,,,45
46,300454.SZ,20180720,106.7864,109.4711,103.6826,108.024,106.7864,1.2376000000000005,1.1589,54205.14,580766.213,107.7964,61029.802,112.2021,84248.5945,,,46
47,300454.SZ,20180723,107.6846,112.006,106.2675,109.7705,108.024,1.7464999999999975,1.6168,56134.92,620097.428,108.0359,52202.606,112.6208,82985.4845,,,47
48,300454.SZ,20180724,108.7924,112.7745,107.2854,110.7784,109.7705,1.0079000000000065,0.9182,48652.57,537435.927,108.1916,51646.126,112.7854,80790.1185,,,48
49,300454.SZ,20180725,110.7784,114.8703,106.1078,107.2655,110.7784,-3.512900000000002,-3.1711,55470.76,621086.684,108.525,51098.35,112.7066,79673.439,,,49
50,300454.SZ,20180726,106.7864,106.7864,99.481,99.6108,107.2655,-7.654700000000005,-7.1362,66871.26,681562.172,107.0898,56266.93,112.6991,79095.8985,,,50
51,300454.SZ,20180727,99.7904,100.9681,96.6168,97.8044,99.6108,-1.8063999999999965,-1.8135,33861.63,333984.741,105.0459,52198.228,112.1023,76047.258,,,51
52,300454.SZ,20180730,97.7745,98.7625,95.3892,98.7625,97.8044,0.9581000000000017,0.9796,40541.65,391995.474,102.8443,49079.574,111.4446,72616.742,,,52
53,300454.SZ,20180731,97.9042,99.3014,95.8283,96.3573,98.7625,-2.4052000000000078,-2.4353,20428.57,199139.476,99.9601,43434.774,110.4741,68197.354,,,53
54,300454.SZ,20180801,96.1677,98.3733,94.491,94.5409,96.3573,-1.8164000000000016,-1.8851,20511.16,198582.234,97.4152,36442.854,109.7425,64871.522,,,54
55,300454.SZ,20180802,94.3713,95.8084,89.3214,95.509,94.5409,0.9681000000000068,1.024,33528.86,311965.38,96.5948,29774.374,108.9446,61965.109,,,55
56,300454.SZ,20180803,93.8124,95.2894,90.9182,91.8164,95.509,-3.6925999999999988,-3.8662,19978.89,186820.407,95.3972,26997.826,107.6472,56512.995,,,56
57,300454.SZ,20180806,92.4152,93.4132,89.6307,92.7345,91.8164,0.9180999999999955,0.9999,21890.37,201862.736,94.1916,23267.57,106.1462,52161.347,,,57
58,300454.SZ,20180807,92.6148,99.6407,92.4152,98.2735,92.7345,5.5390000000000015,5.973,37880.25,365748.24,94.5749,26757.906,104.9791,50468.365,,,58
59,300454.SZ,20180808,96.8064,98.1836,92.9142,92.9142,98.2735,-5.359300000000005,-5.4535,26846.65,257444.399,94.2495,28025.004,103.4431,47581.7505,103.6672,75992.0858,59
60,300454.SZ,20180809,92.6048,101.1976,90.8683,97.6048,92.9142,4.690600000000003,5.0483,39043.85,382401.562,94.6687,29128.002,101.9092,44202.683,104.5737,76638.7223,60
61,300454.SZ,20180810,97.7146,98.8024,97.1657,98.6826,97.6048,1.0777999999999963,1.1042,26818.28,263231.114,96.0419,30495.88,101.0704,42680.434,105.4262,77084.2263,61
62,300454.SZ,20180813,97.4551,103.3932,97.4052,102.0958,98.6826,3.4132000000000033,3.4588,38518.62,392316.632,97.9142,33821.53,100.7465,39592.82,106.2563,77723.8917,62
63,300454.SZ,20180814,101.986,103.6727,98.4032,99.1018,102.0958,-2.9939999999999998,-2.9325,27877.22,279121.212,98.0798,31820.924,100.2016,38414.9325,106.9494,78185.2415,63
64,300454.SZ,20180815,98.4631,99.5509,92.6148,95.4691,99.1018,-3.6327,-3.6656,34867.15,335756.349,98.5908,33425.024,99.6951,37247.808,107.4862,78757.0367,64
65,300454.SZ,20180816,92.8144,96.1477,90.3992,92.9142,95.4691,-2.5549000000000035,-2.6762,26686.41,249370.524,97.6527,30953.536,99.0015,36530.7105,107.8749,79192.5147,65
66,300454.SZ,20180817,94.501,95.3992,90.6986,91.7166,92.9142,-1.1975999999999942,-1.2889,22199.35,205999.901,96.2595,30029.75,98.1861,34930.421,108.1278,79552.4687,66
67,300454.SZ,20180820,90.8184,97.1457,90.2196,96.9661,91.7166,5.249499999999998,5.7236,27181.48,257248.912,95.2336,27762.322,97.5459,33482.749,108.3405,79979.0233,67
68,300454.SZ,20180821,97.3054,98.8623,95.0399,96.4571,96.9661,-0.5090000000000003,-0.5249,28063.82,272057.173,94.7046,27799.642,96.8299,32453.3115,108.4044,80405.7573,68
69,300454.SZ,20180822,95.9381,97.8044,94.3114,94.8104,96.4571,-1.6466999999999956,-1.7072,18194.33,174971.972,94.5729,24465.078,96.2071,30589.49,108.2864,80629.0748,69
70,300454.SZ,20180823,95.3992,98.3034,94.8204,97.5649,94.8104,2.754499999999993,2.9053,24319.05,236339.635,95.503,23991.606,96.1048,28461.8795,108.1835,77499.032,70
71,300454.SZ,20180824,95.8084,97.3054,94.3014,94.4311,97.5649,-3.1337999999999937,-3.212,18363.62,175618.414,96.0459,23224.46,95.9361,27686.979,107.8553,73947.26,71
72,300454.SZ,20180827,94.8104,100.4491,94.3114,98.1836,94.4311,3.7524999999999977,3.9738,26997.11,264874.492,96.2894,23187.586,95.9072,27009.752,107.647,71468.25,72
73,300454.SZ,20180828,98.1637,98.8822,96.4671,97.2555,98.1836,-0.9281000000000006,-0.9453,17803.31,173938.384,96.4491,21135.484,95.9521,26878.489,107.3634,69502.7375,73
74,300454.SZ,20180829,97.515,100.5689,96.8064,98.2735,97.2555,1.0180000000000007,1.0467,17804.33,175852.348,97.1417,21057.484,96.1387,26743.1475,106.9064,67431.4677,74
