,ts_code,symbol,name,area,industry,list_date
1757,300359.SZ,300359,全通教育,广东,文教休闲,20140121
1269,002831.SZ,002831,裕同科技,深圳,广告包装,20161216
2991,600978.SH,600978,宜华生活,广东,家居用品,20040824
2461,600308.SH,600308,华泰股份,山东,造纸,20000928
97,000501.SZ,000501,鄂武商A,湖北,百货,19921120
2465,600312.SH,600312,平高电气,河南,电气设备,20010221
175,000600.SZ,000600,建投能源,河北,火力发电,19960606
1138,002690.SZ,002690,美亚光电,安徽,专用机械,20120731
3501,603617.SH,603617,君禾股份,浙江,专用机械,20170703
2325,600150.SH,600150,中国船舶,上海,船舶,19980520
453,001872.SZ,001872,招商港口,深圳,港口,19930505
2855,600782.SH,600782,新钢股份,江西,普钢,19961225
245,000700.SZ,000700,模塑科技,江苏,汽车配件,19970228
1521,300121.SZ,300121,阳谷华泰,山东,化工原料,20100917
3554,603711.SH,603711,香飘飘,浙江,软饮料,20171130
3065,601186.SH,601186,中国铁建,北京,建筑工程,20080310
2896,600828.SH,600828,茂业商业,四川,百货,19940224
715,002263.SZ,002263,*ST东南,浙江,塑料,20080728
2414,600251.SH,600251,冠农股份,新疆,农业综合,20030609
2171,300789.SZ,300789,唐源电气,四川,软件服务,20190828
74,000403.SZ,000403,双林生物,山西,生物制药,19960628
2755,600675.SH,600675,中华企业,上海,区域地产,19930924
2374,600206.SH,600206,有研新材,北京,半导体,19990319
2854,600781.SH,600781,ST辅仁,河南,中成药,19961218
3334,603218.SH,603218,日月股份,浙江,工程机械,20161228
1083,002634.SZ,002634,棒杰股份,浙江,服饰,20111205
151,000566.SZ,000566,海南海药,海南,化学制药,19940525
1862,300466.SZ,300466,赛摩电气,江苏,电器仪表,20150528
3753,688122.SH,688122,西部超导,陕西,小金属,20190722
2149,300765.SZ,300765,新诺威,河北,食品,20190322
955,002504.SZ,002504,弘高创意,北京,装修装饰,20101118
2029,300637.SZ,300637,扬帆新材,浙江,化工原料,20170412
2382,600215.SH,600215,长春经开,吉林,园区开发,19990909
2006,300613.SZ,300613,富瀚微,上海,半导体,20170220
993,002543.SZ,002543,万和电气,广东,家用电器,20110128
2134,300748.SZ,300748,金力永磁,江西,元器件,20180921
3306,603161.SH,603161,科华控股,江苏,汽车配件,20180105
3005,600993.SH,600993,马应龙,湖北,中成药,20040517
1900,300504.SZ,300504,天邑股份,四川,通信设备,20180330
3303,603158.SH,603158,腾龙股份,江苏,汽车配件,20150320
2420,600259.SH,600259,广晟有色,海南,小金属,20000525
3149,601777.SH,601777,力帆股份,重庆,摩托车,20101125
3372,603306.SH,603306,华懋科技,福建,汽车配件,20140926
2222,600025.SH,600025,华能水电,云南,水力发电,20171215
1272,002835.SZ,002835,同为股份,深圳,元器件,20161228
2733,600648.SH,600648,外高桥,上海,园区开发,19930504
454,001896.SZ,001896,豫能控股,河南,火力发电,19980122
2392,600226.SH,600226,瀚叶股份,浙江,互联网,19991116
2177,300796.SZ,300796,贝斯美,浙江,化工原料,20191115
3319,603186.SH,603186,华正新材,浙江,元器件,20170103
392,000918.SZ,000918,嘉凯城,浙江,全国地产,19990720
1098,002649.SZ,002649,博彦科技,北京,软件服务,20120106
2253,600068.SH,600068,葛洲坝,湖北,建筑工程,19970526
