,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,ma5,ma_v_5,ma20,ma_v_20,ma60,ma_v_60,key
0,600308.SH,20180102,5.8501,6.0268,5.8036,6.0082,5.8408,0.16740000000000066,2.866,165794.64,106266.871,,,,,,,0
1,600308.SH,20180103,6.0082,6.1012,5.971,6.0361,6.0082,0.027899999999999814,0.4644,146701.58,95582.567,,,,,,,1
2,600308.SH,20180104,6.0268,6.0919,5.971,6.0919,6.0361,0.05579999999999963,0.9244,141345.1,91674.391,,,,,,,2
3,600308.SH,20180105,6.0733,6.1849,6.0547,6.1756,6.0919,0.08370000000000033,1.374,148706.69,98114.643,,,,,,,3
4,600308.SH,20180108,6.1663,6.3058,6.1291,6.25,6.1756,0.0743999999999998,1.2047,179242.46,120366.578,6.1124,156358.094,,,,,4
5,600308.SH,20180109,6.25,6.2965,6.2128,6.2314,6.25,-0.018600000000000172,-0.2976,106132.78,71336.608,6.157,144425.722,,,,,5
6,600308.SH,20180110,6.2314,6.2686,6.1198,6.1849,6.2314,-0.046499999999999986,-0.7462,111279.24,73991.384,6.1868,137341.254,,,,,6
7,600308.SH,20180111,6.157,6.2686,6.1384,6.1756,6.1849,-0.009299999999999642,-0.1504,94839.11,63075.544,6.2035,128040.056,,,,,7
8,600308.SH,20180112,6.1756,6.3523,6.157,6.1663,6.1756,-0.00930000000000053,-0.1506,119014.92,80024.969,6.2016,122101.702,,,,,8
9,600308.SH,20180115,6.1663,6.2221,5.9803,6.0268,6.1663,-0.13949999999999996,-2.2623,129144.48,84543.076,6.157,112082.106,,,,,9
10,600308.SH,20180116,6.0268,6.157,5.9896,6.1477,6.0268,0.12090000000000067,2.006,97563.32,64077.275,6.1403,110368.214,,,,,10
11,600308.SH,20180117,6.1663,6.1756,6.0082,6.1012,6.1477,-0.046499999999999986,-0.7564,100420.76,65857.953,6.1235,108196.518,,,,,11
12,600308.SH,20180118,6.1105,6.3616,6.1105,6.3337,6.1012,0.23249999999999993,3.8107,187741.06,126258.314,6.1551,126776.908,,,,,12
13,600308.SH,20180119,6.343,6.436,6.2593,6.3895,6.3337,0.05579999999999963,0.881,208922.52,143341.163,6.1998,144758.428,,,,,13
14,600308.SH,20180122,6.3523,6.622,6.3337,6.6127,6.3895,0.2232000000000003,3.4932,232860.88,162094.486,6.317,165501.708,,,,,14
15,600308.SH,20180123,6.5848,6.6127,6.5011,6.529,6.6127,-0.08370000000000033,-1.2657,153427.88,107955.888,6.3932,176674.62,,,,,15
16,600308.SH,20180124,6.5197,6.529,6.3616,6.4453,6.529,-0.08370000000000033,-1.282,134028.1,92607.158,6.462,183396.088,,,,,16
17,600308.SH,20180125,6.4081,6.5941,6.4081,6.5197,6.4453,0.07440000000000069,1.1543,146498.18,102563.022,6.4992,175147.512,,,,,17
18,600308.SH,20180126,6.4825,6.6313,6.4174,6.622,6.5197,0.10229999999999961,1.5691,188039.88,132560.456,6.5457,170970.984,,,,,18
19,600308.SH,20180129,6.622,6.8918,6.6127,6.743,6.622,0.12100000000000044,1.8272,273623.07,198651.202,6.5718,179123.422,6.2895,153266.3325,,,19
20,600308.SH,20180130,6.8081,6.8453,6.6779,6.7151,6.743,-0.027900000000000702,-0.4138,152144.43,110407.694,6.609,178866.732,6.3249,152583.822,,,20
21,600308.SH,20180131,6.6313,6.6313,6.3802,6.436,6.7151,-0.2790999999999997,-4.1563,239809.38,166906.551,6.6072,200022.988,6.3449,157239.212,,,21
22,600308.SH,20180201,6.4546,6.5476,6.2779,6.3988,6.436,-0.037200000000000344,-0.578,187291.87,129312.332,6.583,208181.726,6.3602,159536.5505,,,22
23,600308.SH,20180202,6.3337,6.5476,6.1663,6.5383,6.3988,0.13949999999999996,2.1801,161459.68,110997.623,6.5662,202865.686,6.3784,160174.2,,,23
24,600308.SH,20180205,6.4639,6.7895,6.4174,6.7802,6.5383,0.24190000000000023,3.6997,239921.23,171852.94,6.5737,196125.318,6.4049,163208.1385,,,24
25,600308.SH,20180206,6.6499,6.7709,6.3058,6.3151,6.7802,-0.4650999999999996,-6.8597,262416.03,183754.108,6.4937,218179.638,6.409,171022.301,,,25
26,600308.SH,20180207,6.4453,6.5383,6.2407,6.3151,6.3151,0.0,0.0,230501.1,158770.678,6.4695,216317.982,6.4156,176983.394,,,26
27,600308.SH,20180208,6.2593,6.2779,5.9245,6.0454,6.3151,-0.2697000000000003,-4.2707,207474.2,136236.409,6.3988,220354.448,6.409,182615.1485,,,27
28,600308.SH,20180209,5.8594,5.9059,5.5897,5.6083,6.0454,-0.43710000000000004,-7.2303,186313.85,114476.91,6.2128,225325.282,6.3811,185980.095,,,28
29,600308.SH,20180212,5.6827,5.8873,5.6827,5.8222,5.6083,0.21389999999999976,3.814,108087.73,67317.887,6.0212,198958.582,6.3709,184927.2575,,,29
30,600308.SH,20180213,5.8315,5.9152,5.8129,5.8408,5.8222,0.018600000000000172,0.3195,90331.79,56847.952,5.9264,164541.734,6.3556,184565.681,,,30
31,600308.SH,20180214,5.8315,5.9059,5.7664,5.8687,5.8408,0.027899999999999814,0.4777,59130.21,37067.886,5.8371,130267.556,6.3439,182501.1535,,,31
32,600308.SH,20180222,5.9152,5.9896,5.8687,5.9524,5.8687,0.08370000000000033,1.4262,61174.1,39019.415,5.8185,101007.536,6.3249,176172.8055,,,32
33,600308.SH,20180223,5.9524,6.3244,5.9338,6.2221,5.9524,0.2697000000000003,4.5309,189249.15,124097.335,5.9412,101594.596,6.3165,175189.137,,,33
34,600308.SH,20180226,6.2314,6.3523,6.2128,6.343,6.2221,0.12089999999999979,1.9431,135654.79,91640.013,6.0454,107108.008,6.303,170328.8325,,,34
35,600308.SH,20180227,6.3244,6.3616,6.1849,6.2314,6.343,-0.11160000000000014,-1.7594,106516.01,71605.115,6.1235,110344.852,6.2881,167983.239,,,35
36,600308.SH,20180228,6.1849,6.4825,6.1105,6.4174,6.2314,0.18599999999999994,2.9849,182102.42,124370.609,6.2333,134939.294,6.2868,170386.955,,,36
37,600308.SH,20180301,6.2965,6.5197,6.2779,6.4639,6.4174,0.046499999999999986,0.7246,169598.6,117010.511,6.3356,156624.194,6.284,171541.976,,,37
38,600308.SH,20180302,6.3802,6.436,6.2872,6.3244,6.4639,-0.13949999999999996,-2.1581,124571.51,84984.284,6.356,143688.666,6.2691,168368.5575,,,38
