,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,ma5,ma_v_5,ma20,ma_v_20,ma60,ma_v_60,key
0,300301.SZ,20180102,6.12,6.16,6.07,6.15,6.13,0.020000000000000462,0.3263,12819.0,7847.696,,,,,,,0
1,300301.SZ,20180103,6.09,6.18,6.07,6.14,6.15,-0.010000000000000675,-0.1626,25711.15,15739.55,,,,,,,1
2,300301.SZ,20180104,6.13,6.16,6.09,6.12,6.14,-0.019999999999999574,-0.3257,14010.82,8565.35,,,,,,,2
3,300301.SZ,20180105,6.09,6.12,5.97,6.11,6.12,-0.009999999999999787,-0.1634,59281.0,35830.223,,,,,,,3
4,300301.SZ,20180108,6.08,6.09,6.0,6.06,6.11,-0.05000000000000071,-0.8183,20134.45,12147.761,6.116,26391.284,,,,,4
5,300301.SZ,20180109,6.05,6.08,6.0,6.08,6.06,0.020000000000000462,0.33,15920.31,9617.088,6.102,27011.546,,,,,5
6,300301.SZ,20180110,6.06,6.06,6.0,6.05,6.08,-0.03000000000000025,-0.4934,12562.0,7567.092,6.084,24381.716,,,,,6
7,300301.SZ,20180111,5.99,6.0,5.96,5.96,6.05,-0.08999999999999986,-1.4876,14239.96,8518.127,6.052,24427.544,,,,,7
8,300301.SZ,20180112,5.94,5.97,5.82,5.95,5.96,-0.009999999999999787,-0.1678,20283.18,11943.899,6.02,16627.98,,,,,8
9,300301.SZ,20180115,5.9,6.0,5.77,5.83,5.95,-0.1200000000000001,-2.0168,16367.02,9540.3,5.974,15874.494,,,,,9
10,300301.SZ,20180116,5.82,5.86,5.7,5.72,5.83,-0.11000000000000032,-1.8868,19420.1,11139.734,5.902,16574.452,,,,,10
11,300301.SZ,20180117,5.72,5.73,5.59,5.67,5.72,-0.04999999999999982,-0.8741,17050.03,9628.383,5.826,17472.058,,,,,11
12,300301.SZ,20180118,5.6,5.83,5.5,5.73,5.67,0.0600000000000005,1.0582,22791.0,13081.068,5.78,19182.266,,,,,12
13,300301.SZ,20180119,5.8,6.0,5.77,5.98,5.73,0.25,4.363,41833.0,24513.486,5.786,23492.23,,,,,13
14,300301.SZ,20180122,6.02,6.02,5.82,5.85,5.98,-0.13000000000000078,-2.1739,31363.81,18349.717,5.79,26491.588,,,,,14
