,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,ma5,ma_v_5,ma20,ma_v_20,ma60,ma_v_60,key
0,300822.SZ,20200313,28.28,33.94,28.28,33.94,23.57,10.369999999999997,43.9966,856.44,2900.814,,,,,,,0
1,300822.SZ,20200316,37.33,37.33,37.33,37.33,33.94,3.3900000000000006,9.9882,259.93,970.318,,,,,,,1
2,300822.SZ,20200317,41.06,41.06,41.06,41.06,37.33,3.730000000000004,9.992,201.17,826.004,,,,,,,2
3,300822.SZ,20200318,45.17,45.17,45.17,45.17,41.06,4.109999999999999,10.0097,373.61,1687.596,,,,,,,3
4,300822.SZ,20200319,49.69,49.69,49.69,49.69,45.17,4.519999999999996,10.0066,852.19,4234.532,41.438,508.668,,,,,4
5,300822.SZ,20200320,54.66,54.66,54.66,54.66,49.69,4.969999999999999,10.002,1205.11,6587.131,45.582,578.402,,,,,5
6,300822.SZ,20200323,60.13,60.13,60.13,60.13,54.66,5.470000000000006,10.0073,2626.61,15793.805,50.142,1051.738,,,,,6
7,300822.SZ,20200324,61.0,61.5,54.12,54.48,60.13,-5.650000000000006,-9.3963,136297.05,770174.337,52.826,28270.914,,,,,7
8,300822.SZ,20200325,52.94,52.94,49.1,50.56,54.48,-3.9199999999999946,-7.1953,109887.72,558863.716,53.904,50173.736,,,,,8
9,300822.SZ,20200326,48.5,49.46,46.7,46.79,50.56,-3.770000000000003,-7.4565,82528.72,396089.707,53.324,66509.042,,,,,9
10,300822.SZ,20200327,47.18,47.96,45.78,45.85,46.79,-0.9399999999999977,-2.009,56401.43,264237.498,51.562,77548.306,,,,,10
11,300822.SZ,20200330,44.5,45.93,43.03,45.82,45.85,-0.030000000000001137,-0.0654,49820.62,221398.91,48.7,86987.108,,,,,11
12,300822.SZ,20200331,45.6,45.68,43.03,43.05,45.82,-2.770000000000003,-6.0454,50713.82,223817.972,46.414,69870.462,,,,,12
13,300822.SZ,20200401,42.66,44.26,42.28,43.23,43.05,0.17999999999999972,0.4181,40800.06,176873.259,44.948,56052.93,,,,,13
