,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,ma5,ma_v_5,ma20,ma_v_20,ma60,ma_v_60,key
0,600058.SH,20180102,12.11,12.15,12.0,12.12,12.08,0.03999999999999915,0.3311,33578.26,40635.919,,,,,,,0
1,600058.SH,20180103,12.09,12.25,12.05,12.15,12.12,0.030000000000001137,0.2475,37608.84,45756.192,,,,,,,1
2,600058.SH,20180104,12.15,12.24,12.02,12.12,12.15,-0.030000000000001137,-0.2469,30841.17,37354.597,,,,,,,2
3,600058.SH,20180105,12.13,12.2,12.04,12.12,12.12,0.0,0.0,31404.45,37989.49,,,,,,,3
4,600058.SH,20180108,12.12,12.39,12.06,12.37,12.12,0.25,2.0627,56547.14,69468.501,12.176,37995.972,,,,,4
5,600058.SH,20180109,12.3,12.45,12.26,12.35,12.37,-0.019999999999999574,-0.1617,45748.09,56489.761,12.222,40429.938,,,,,5
6,600058.SH,20180110,12.36,12.4,11.98,12.08,12.35,-0.2699999999999996,-2.1862,54322.33,65958.833,12.208,43772.636,,,,,6
7,600058.SH,20180111,11.98,12.18,11.96,12.15,12.08,0.07000000000000028,0.5795,32150.08,38947.453,12.214,44034.418,,,,,7
8,600058.SH,20180112,12.14,12.14,11.98,12.02,12.15,-0.13000000000000078,-1.07,30189.83,36344.589,12.194,43791.494,,,,,8
9,600058.SH,20180115,12.03,12.05,11.54,11.61,12.02,-0.41000000000000014,-3.411,49113.18,57621.508,12.042,42304.702,,,,,9
10,600058.SH,20180116,11.62,11.74,11.55,11.63,11.61,0.02000000000000135,0.1723,39055.46,45423.729,11.898,40966.176,,,,,10
11,600058.SH,20180117,11.61,11.63,11.41,11.59,11.63,-0.040000000000000924,-0.3439,44698.41,51560.918,11.8,39041.392,,,,,11
12,600058.SH,20180118,11.6,11.7,11.59,11.63,11.59,0.040000000000000924,0.3451,29813.02,34706.407,11.696,38573.98,,,,,12
13,600058.SH,20180119,11.63,11.7,11.58,11.69,11.63,0.05999999999999872,0.5159,32836.87,38244.169,11.63,39103.388,,,,,13
14,600058.SH,20180122,11.7,11.82,11.55,11.8,11.69,0.11000000000000121,0.941,36251.87,42449.622,11.668,36531.126,,,,,14
15,600058.SH,20180123,11.8,11.91,11.75,11.86,11.8,0.05999999999999872,0.5085,37388.56,44261.784,11.714,36197.746,,,,,15
