,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,ma5,ma_v_5,ma20,ma_v_20,ma60,ma_v_60,key
0,600415.SH,20180102,5.6025,5.6702,5.6025,5.6606,5.5928,0.0677999999999992,1.2123,101909.22,59485.609,,,,,,,0
1,600415.SH,20180103,5.6606,5.6993,5.6315,5.6509,5.6606,-0.009699999999999598,-0.1714,191261.92,111815.438,,,,,,,1
2,600415.SH,20180104,5.6509,5.6799,5.6219,5.6606,5.6509,0.009699999999999598,0.1717,108321.0,63270.042,,,,,,,2
3,600415.SH,20180105,5.6509,5.7767,5.6315,5.738,5.6606,0.0774000000000008,1.3673,208991.02,123750.585,,,,,,,3
4,600415.SH,20180108,5.738,5.9025,5.6896,5.8444,5.738,0.10639999999999983,1.8543,243562.73,145953.301,5.7109,170809.178,,,,,4
5,600415.SH,20180109,5.8444,5.8444,5.7477,5.767,5.8444,-0.07739999999999991,-1.3243,151381.56,90514.282,5.7322,180703.646,,,,,5
6,600415.SH,20180110,5.7477,5.767,5.6606,5.6896,5.767,-0.07739999999999991,-1.3421,116930.18,68873.411,5.7399,165837.298,,,,,6
7,600415.SH,20180111,5.6606,5.767,5.6315,5.7573,5.6896,0.06769999999999943,1.1899,106026.9,62349.223,5.7593,165378.478,,,,,7
8,600415.SH,20180112,5.7283,5.767,5.6993,5.7573,5.7573,0.0,0.0,115244.83,68297.246,5.7631,146629.24,,,,,8
9,600415.SH,20180115,5.7573,5.7573,5.5832,5.5928,5.7573,-0.16449999999999942,-2.8572,135619.52,79302.493,5.7128,125040.598,,,,,9
10,600415.SH,20180116,5.5735,5.7573,5.5638,5.7573,5.5928,0.16449999999999942,2.9413,157919.9,92595.175,5.7109,126348.266,,,,,10
11,600415.SH,20180117,5.8251,5.8831,5.7186,5.7283,5.7573,-0.028999999999999915,-0.5037,254881.02,152431.332,5.7186,153938.434,,,,,11
12,600415.SH,20180118,5.738,5.7573,5.6606,5.6993,5.7283,-0.028999999999999915,-0.5063,106093.04,62362.136,5.707,153951.662,,,,,12
13,600415.SH,20180119,5.6896,5.7186,5.6702,5.6993,5.6993,0.0,0.0,104965.5,61836.247,5.6954,151895.796,,,,,13
14,600415.SH,20180122,5.6799,5.8251,5.6509,5.796,5.6993,0.09670000000000023,1.6967,191576.06,114352.986,5.736,163087.104,,,,,14
15,600415.SH,20180123,5.8638,5.9218,5.767,5.8734,5.796,0.07739999999999991,1.3354,275977.31,166522.347,5.7593,186698.586,,,,,15
16,600415.SH,20180124,5.8347,5.8928,5.796,5.8638,5.8734,-0.009599999999999831,-0.1634,156021.6,94085.514,5.7864,166926.702,,,,,16
17,600415.SH,20180125,5.8928,5.9122,5.8251,5.8444,5.8638,-0.019400000000000084,-0.3308,166837.59,101050.462,5.8154,179075.612,,,,,17
18,600415.SH,20180126,5.8251,5.8638,5.796,5.8347,5.8444,-0.009700000000000486,-0.166,108658.04,65528.958,5.8425,179814.12,,,,,18
19,600415.SH,20180129,5.8347,5.8541,5.7477,5.7573,5.8347,-0.07739999999999991,-1.3265,128383.85,76919.858,5.8347,167175.678,5.7486,156528.1395,,,19
20,600415.SH,20180130,5.7477,5.8347,5.738,5.7767,5.7573,0.019400000000000084,0.337,101376.79,60671.619,5.8154,132255.574,5.7544,156501.518,,,20
21,600415.SH,20180131,5.767,5.8734,5.7186,5.7573,5.7767,-0.019400000000000084,-0.3358,166455.32,99566.413,5.7941,134342.318,5.7597,155261.188,,,21
22,600415.SH,20180201,5.7573,5.767,5.4864,5.5058,5.7573,-0.25150000000000006,-4.3684,209142.33,121299.231,5.7264,142803.266,5.752,160302.2545,,,22
23,600415.SH,20180202,5.4864,5.5445,5.3509,5.5154,5.5058,0.009599999999999831,0.1744,113056.67,64015.664,5.6625,143682.992,5.7409,155505.537,,,23
24,600415.SH,20180205,5.4767,5.5832,5.4477,5.5348,5.5154,0.019400000000000084,0.3517,76943.47,44053.994,5.618,133394.916,5.7254,147174.574,,,24
25,600415.SH,20180206,5.4961,5.4961,5.0994,5.1187,5.5348,-0.41610000000000014,-7.5179,197235.84,108726.459,5.4864,152566.726,5.693,149467.288,,,25
26,600415.SH,20180207,5.1864,5.3509,5.0703,5.1574,5.1187,0.0387000000000004,0.7561,120305.02,64530.196,5.3664,143336.666,5.6664,149636.03,,,26
27,600415.SH,20180208,5.1574,5.2542,5.1477,5.1864,5.1574,0.028999999999999915,0.5623,96696.02,51919.48,5.3025,120847.404,5.6378,149169.486,,,27
28,600415.SH,20180209,5.0703,5.1477,4.8574,4.8865,5.1864,-0.29990000000000006,-5.7824,194471.96,100055.202,5.1768,137130.462,5.5943,153130.8425,,,28
29,600415.SH,20180212,4.9058,5.0316,4.9058,5.0123,4.8865,0.1257999999999999,2.5744,96859.01,49834.33,5.0723,141113.57,5.5653,151192.817,,,29
30,600415.SH,20180213,5.0316,5.08,5.0123,5.0316,5.0123,0.019300000000000317,0.3851,84595.61,44069.217,5.0548,118585.524,5.529,147526.6025,,,30
31,600415.SH,20180214,4.9832,5.0606,4.9832,5.051,5.0316,0.019400000000000084,0.3856,55420.56,28815.301,5.0336,105608.632,5.4951,137553.5795,,,31
32,600415.SH,20180222,5.08,5.1284,5.0703,5.109,5.051,0.05799999999999983,1.1483,66861.89,35254.913,5.0181,99641.806,5.4656,135592.022,,,32
33,600415.SH,20180223,5.1187,5.1574,5.08,5.1284,5.109,0.019400000000000084,0.3797,67321.81,35662.153,5.0665,74211.776,5.437,133709.8375,,,33
34,600415.SH,20180226,5.1381,5.2251,5.1187,5.2155,5.1284,0.08709999999999951,1.6984,85026.35,45501.911,5.1071,71845.244,5.408,128382.352,,,34
35,600415.SH,20180227,5.2251,5.2735,5.1864,5.2155,5.2155,0.0,0.0,88046.43,47518.706,5.1439,72535.408,5.3751,118985.808,,,35
36,600415.SH,20180228,5.1768,5.2348,5.1477,5.1961,5.2155,-0.019399999999999196,-0.372,59950.19,32197.107,5.1729,73441.334,5.3417,114182.2375,,,36
37,600415.SH,20180301,5.1768,5.2251,5.1574,5.2251,5.1961,0.028999999999999915,0.5581,77249.25,41616.048,5.1961,75518.806,5.3108,109702.8205,,,37
38,600415.SH,20180302,5.1574,5.1864,5.1284,5.1574,5.2251,-0.06770000000000032,-1.2957,82554.72,44041.825,5.2019,78565.388,5.2769,108397.6545,,,38
39,600415.SH,20180305,5.1768,5.2155,5.1768,5.1961,5.1574,0.0387000000000004,0.7504,55614.36,29867.457,5.198,72682.99,5.2489,104759.18,,,39
40,600415.SH,20180306,5.1768,5.2638,5.1671,5.2638,5.1961,0.06769999999999943,1.3029,91345.07,49350.207,5.2077,73342.718,5.2232,104257.594,,,40
41,600415.SH,20180307,5.2348,5.3703,5.2348,5.2638,5.2638,0.0,0.0,105323.03,57678.042,5.2212,82417.286,5.1985,101200.9795,,,41
42,600415.SH,20180308,5.2638,5.3026,5.2445,5.2832,5.2638,0.019400000000000084,0.3686,54751.89,29803.506,5.2329,77917.814,5.1874,93481.4575,,,42
43,600415.SH,20180309,5.2735,5.3219,5.2445,5.3026,5.2832,0.019400000000000084,0.3672,75506.8,41293.48,5.2619,76508.23,5.1768,91603.964,,,43
44,600415.SH,20180312,5.3122,5.3509,5.2929,5.3509,5.3026,0.04830000000000023,0.9109,91080.3,50190.362,5.2929,83601.418,5.1676,92310.8055,,,44
45,600415.SH,20180313,5.3509,5.3703,5.3026,5.3122,5.3509,-0.0387000000000004,-0.7232,84026.6,46318.976,5.3025,82137.724,5.1772,86650.3435,,,45
46,600415.SH,20180314,5.3026,5.3122,5.1961,5.2155,5.3122,-0.09670000000000023,-1.8203,105768.61,57341.483,5.2929,82226.84,5.1801,85923.523,,,46
47,600415.SH,20180315,5.2251,5.2735,5.2058,5.2348,5.2155,0.019300000000000317,0.3701,87472.82,47329.085,5.2832,88771.026,5.1826,85462.363,,,47
48,600415.SH,20180316,5.2638,5.5638,5.2445,5.409,5.2348,0.1741999999999999,3.3277,338745.98,189851.263,5.3045,141418.862,5.2087,92676.064,,,48
49,600415.SH,20180319,5.3703,5.467,5.3316,5.38,5.409,-0.028999999999999915,-0.5361,145368.04,80867.173,5.3103,152276.41,5.2271,95101.5155,,,49
50,600415.SH,20180320,5.3219,5.409,5.3026,5.3896,5.38,0.009599999999999831,0.1784,113619.27,62876.15,5.3258,158194.944,5.245,96552.6985,,,50
51,600415.SH,20180321,5.3509,5.5638,5.3509,5.4574,5.3896,0.06780000000000008,1.258,283022.12,159566.67,5.3742,193645.646,5.2653,107932.7765,,,51
52,600415.SH,20180322,5.4864,5.6702,5.4767,5.6219,5.4574,0.1645000000000003,3.0143,433409.49,250620.657,5.4516,262832.98,5.2909,126260.1565,,,52
53,600415.SH,20180323,5.4767,5.4864,5.1768,5.2832,5.6219,-0.3387000000000002,-6.0247,340969.05,188265.428,5.4264,263277.594,5.2987,139942.5185,,,53
54,600415.SH,20180326,5.1864,5.2445,4.9929,5.2348,5.2832,-0.0484,-0.9161,181686.99,96259.83,5.3974,270541.384,5.2996,144775.5505,,,54
55,600415.SH,20180327,5.3026,5.3316,5.2445,5.2929,5.2348,0.058100000000000485,1.1099,149706.06,81798.308,5.378,277758.742,5.3035,147858.532,,,55
56,600415.SH,20180328,5.1961,5.2348,5.1477,5.1671,5.2929,-0.1258000000000008,-2.3768,145592.0,78099.802,5.32,250272.718,5.3021,152140.6225,,,56
57,600415.SH,20180329,5.1671,5.2058,5.1477,5.1961,5.1671,0.029000000000000803,0.5612,107216.63,57430.951,5.2348,185034.146,5.3006,153638.9915,,,57
58,600415.SH,20180330,5.1961,5.2348,5.1671,5.1768,5.1961,-0.019300000000000317,-0.3714,111251.46,59721.52,5.2135,139090.628,5.3016,155073.8285,,,58
59,600415.SH,20180402,5.1864,5.1864,5.1284,5.1381,5.1768,-0.0387000000000004,-0.7476,111917.0,59714.318,5.1942,125136.63,5.2987,157888.9605,5.432,139725.4267,59
60,600415.SH,20180403,5.0413,5.08,5.0123,5.0606,5.1381,-0.07749999999999968,-1.5083,101116.65,52820.126,5.1477,115418.748,5.2885,158377.5395,5.422,139712.2172,60
61,600415.SH,20180404,5.0994,5.0994,4.9639,4.9832,5.0606,-0.07739999999999991,-1.5295,107403.02,55847.237,5.111,107780.952,5.2745,158481.539,5.4109,138314.5688,61
62,600415.SH,20180409,4.9639,5.0316,4.8962,5.0026,4.9832,0.019400000000000084,0.3893,88305.37,45425.082,5.0723,103998.7,5.2605,160159.213,5.4,137980.975,62
63,600415.SH,20180410,5.0026,5.109,4.9832,5.109,5.0026,0.10639999999999983,2.1269,106770.99,55859.962,5.0587,103102.606,5.2508,161722.4225,5.3895,136277.3078,63
64,600415.SH,20180411,5.1284,5.1477,5.0606,5.08,5.109,-0.028999999999999915,-0.5676,97408.75,51421.476,5.0471,100200.956,5.2372,162038.845,5.3767,133841.4082,64
65,600415.SH,20180412,5.051,5.2058,5.0413,5.1187,5.08,0.03869999999999951,0.7618,119148.93,63216.029,5.0587,103807.412,5.2276,163794.9615,5.3659,133304.1977,65
66,600415.SH,20180413,5.0897,5.1284,5.0703,5.0897,5.1187,-0.028999999999999915,-0.5666,77513.02,40900.602,5.08,97829.412,5.2213,162382.182,5.3559,132647.245,66
67,600415.SH,20180416,5.0703,5.0897,4.9832,5.0026,5.0897,-0.08709999999999951,-1.7113,85762.0,44509.328,5.08,97320.738,5.2097,162296.641,5.3433,132309.4967,67
68,600415.SH,20180417,5.0219,5.0316,4.8865,4.9058,5.0026,-0.0968,-1.935,96752.02,49632.346,5.0394,95316.944,5.1845,150196.943,5.3292,132001.2832,68
69,600415.SH,20180418,4.9832,4.9929,4.8865,4.9639,4.9058,0.058099999999999596,1.1843,109623.06,55801.256,5.0161,97759.806,5.1637,148409.694,5.3187,131568.0088,69
70,600415.SH,20180419,4.9542,5.0026,4.9349,4.9736,4.9639,0.009700000000000486,0.1954,69380.02,35612.36,4.9871,87806.024,5.1429,146197.7315,5.3056,130092.3442,70
71,600415.SH,20180420,4.9736,4.9832,4.8865,4.8865,4.9736,-0.0871000000000004,-1.7512,77149.0,39222.488,4.9465,87733.22,5.1144,135904.0755,5.2916,127130.1438,71
72,600415.SH,20180423,4.8865,4.9058,4.8284,4.8478,4.8865,-0.03869999999999951,-0.792,95908.36,48088.204,4.9155,89762.492,5.0757,119029.019,5.2774,126960.3992,72
73,600415.SH,20180424,4.8381,4.9445,4.8381,4.9349,4.8478,0.08709999999999951,1.7967,81525.88,41359.012,4.9213,86717.264,5.0582,106056.8605,5.2647,126569.7388,73
74,600415.SH,20180425,4.9058,4.9542,4.8962,4.9542,4.9349,0.019300000000000317,0.3911,63163.31,32133.504,4.9194,77425.314,5.0442,100130.6765,5.2506,124429.5263,74
75,600415.SH,20180426,4.9445,4.9445,4.8478,4.8478,4.9542,-0.10639999999999983,-2.1477,78774.0,39784.151,4.8942,79304.11,5.022,96584.0735,5.2335,121142.8045,75
76,600415.SH,20180427,4.8671,4.8865,4.8187,4.8574,4.8478,0.009599999999999831,0.198,76022.95,38160.985,4.8884,79078.9,5.0065,93105.621,5.2168,119809.4937,76
77,600415.SH,20180502,4.8671,4.9349,4.8284,4.8671,4.8574,0.009699999999999598,0.1997,84051.08,42273.007,4.8923,76707.444,4.99,91947.3435,5.2005,118429.7185,77
